codigos,nome,classe,qtd,part
ALOS3,ALLOS,ON      NM,476976044,0.462
ABEV3,AMBEV S/A,ON,4394835131,2.95
ASAI3,ASSAI,ON      NM,1345832968,0.546
AURE3,AUREN,ON      NM,323738747,0.123
AMOB3,AUTOMOB,ON      NM,533959816,0.006
AZUL4,AZUL,PN      N2,326872005,0.049
AZZA3,AZZAS 2154,ON      NM,136643320,0.17
B3SA3,B3,ON      NM,5392540963,3.156
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.247
BBDC3,BRADESCO,ON  EJ  N1,1484426957,0.812
BBDC4,BRADESCO,PN  EJ  N1,5129958973,3.152
BRAP4,BRADESPAR,PN      N1,250969312,0.209
BBAS3,BRASIL,ON      NM,2842613858,3.866
BRKM5,BRASKEM,PNA     N1,265388400,0.129
BRAV3,BRAVA,ON      NM,460791208,0.373
BRFS3,BRF SA,ON      NM,814523002,0.818
BPAC11,BTGP BANCO,UNT     N2,1287247964,2.133
CXSE3,CAIXA SEGURI,ON      NM,599880893,0.449
CRFB3,CARREFOUR BR,ON      NM,532664283,0.218
CCRO3,CCR SA,ON      NM,991920937,0.57
CMIG4,CEMIG,PN      N1,1858636840,0.922
COGN3,COGNA ON,ON      NM,1872454628,0.207
CPLE6,COPEL,PNB     N2,1679233590,0.88
CSAN3,COSAN,ON      NM,1150987430,0.394
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.353
CMIN3,CSNMINERACAO,ON      N2,1646519336,0.463
CVCB3,CVC BRASIL,ON      NM,525591097,0.055
CYRE3,CYRELA REALT,ON      NM,273755006,0.334
ELET3,ELETROBRAS,ON      N1,1977170723,4.05
ELET6,ELETROBRAS,PNB     N1,268875696,0.599
EMBR3,EMBRAER,ON      NM,734631801,2.209
ENGI11,ENERGISA,UNT     N2,326175300,0.651
ENEV3,ENEVA,ON      NM,1929556616,1.164
EGIE3,ENGIE BRASIL,ON      NM,255236938,0.498
EQTL3,EQUATORIAL,ON      NM,1253541010,2.054
FLRY3,FLEURY,ON      NM,455988366,0.268
GGBR4,GERDAU,PN      N1,1242683687,0.892
GOAU4,GERDAU MET,PN      N1,649238303,0.258
NTCO3,GRUPO NATURA,ON      NM,850935197,0.398
HAPV3,HAPVIDA,ON      NM,4779395040,0.524
HYPE3,HYPERA,ON      NM,370735677,0.354
IGTI11,IGUATEMI S.A,UNT     N1,211783588,0.195
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.193
ISAE4,ISA ENERGIA,PN      N1,395801044,0.433
ITSA4,ITAUSA,PN      N1,5857796242,2.761
ITUB4,ITAUUNIBANCO,PN      N1,5272192664,8.235
JBSS3,JBS,ON      NM,1145962972,2.352
KLBN11,KLABIN S/A,UNT     N2,765785673,0.688
RENT3,LOCALIZA,ON      NM,965986531,1.783
LREN3,LOJAS RENNER,ON      NM,1051120777,0.657
LWSA3,LWSA,ON      NM,389635155,0.057
MGLU3,MAGAZ LUIZA,ON      NM,353448195,0.178
POMO4,MARCOPOLO,PN      N2,666378439,0.199
MRFG3,MARFRIG,ON      NM,302019876,0.297
BEEF3,MINERVA,ON      NM,261359935,0.088
MRVE3,MRV,ON      NM,377241484,0.089
MULT3,MULTIPLAN,ON      N2,314150156,0.364
PCAR3,P.ACUCAR-CBD,ON      NM,462534972,0.085
PETR3,PETROBRAS,ON      N2,2255782178,3.703
PETR4,PETROBRAS,PN      N2,4431132660,6.829
RECV3,PETRORECSA,ON      NM,275170410,0.182
PRIO3,PETRORIO,ON      NM,779999989,1.266
PETZ3,PETZ,ON      NM,293689428,0.058
PSSA3,PORTO SEGURO,ON      NM,182560698,0.35
RADL3,RAIADROGASIL,ON  EJ  NM,1286616979,1.307
RAIZ4,RAIZEN,PN      N2,1198936529,0.105
RDOR3,REDE D OR,ON      NM,1145289019,1.632
RAIL3,RUMO S.A.,ON      NM,1216914397,1.032
SBSP3,SABESP,ON      NM,683508568,3.542
SANB11,SANTANDER BR,UNT,356586730,0.464
STBP3,SANTOS BRP,ON      NM,855712622,0.563
SMTO3,SAO MARTINHO,ON      NM,128130966,0.123
CSNA3,SID NACIONAL,ON,727459637,0.3
SLCE3,SLC AGRICOLA,ON      NM,194261422,0.182
SUZB3,SUZANO S.A.,ON  ATZ NM,630821784,1.626
TAEE11,TAESA,UNT     N2,218568234,0.369
VIVT3,TELEF BRASIL,ON,382442128,0.956
TIMS3,TIM,ON  ED  NM,807495418,0.679
TOTS3,TOTVS,ON      NM,540206440,0.903
UGPA3,ULTRAPAR,ON      NM,1090134379,0.903
USIM5,USIMINAS,PNA     N1,515193199,0.136
VALE3,VALE,ON      NM,4270903023,11.125
VAMO3,VAMOS,ON      NM,485166826,0.103
VBBR3,VIBRA,ON      NM,1023538460,0.89
VIVA3,VIVARA S.A.,ON      NM,125446075,0.123
WEGE3,WEG,ON      NM,1243177587,2.755
YDUQ3,YDUQS PART,ON      NM,277677050,0.175
